,0
864,from the shows first episode the sex was sweaty it was weird it was jiggly it was unflattering which is to say it was realistic really thats how sex is for you my condolences
865,i for one couldnt stand it  and it never got better
866,girls is an easy show to hatewatch there is a certain audacity in watching lena dunham appear fully naked and embrace that pearlike body and endure all the public body shaming that comes with it no matter what anyone says it takes a lot of courage to appear naked on television with a body like thatbrbrthe first season was the best with adam driver playing the most interesting character second to that was hannahs relationship with her wacky parentsbrbrunfortunately as fake as it was the girls of sex in the city were far more interesting funny and entertaining than these four brbrjemima kirke was a complete waste as a beautiful but useless addict allison williams showed the most potential until her character became more selfabsorbed and shallow than hannah leahs hannah could have been fabulous if only we believed she possessed some serious hidden talent and zozia mamet the most annoying character on television and an actresses face i will never miss if i dont ever see it againbrbri watched every episode but cant say im going to miss it
867,hated the show when it premiered could not understand the entitlement of the characters  not one is rich brilliant or successful hallmarks of the spoiled on tv   or get past the grime of their surroundings after the crystalline portrayals of single life in satc i just couldnt then at the urging of a friend i watched another episode and laughed like i havent laughed since sanford and son was in first run girls is just plain hilarious they all deserve emmys  especially zosia mamet and adam driver it may be millennial humor totem of chat anyone but its the funniest thing on tv ill miss them 
868,the only thing different and new about girls was the first season it was an almost x rated version of the cult aptow show freaks and geeksbrbrthe rest of the seasons descend further and further into empty materialism a la sex in the city and when it could be about something duhnam chose to do nothing brbrthe show didnt change television its not mash all in the family its not even at the level of undeclared which is the comedy version of freaks and geeks and its not mary tyler moorebrbras for real girl power try watching buffy the vampire slayer thats much better tv for most of the seasons and presents women and girls as real peopleeven if the show is science fictionbrbrthen theres china beachbrbrhaving to use jenji kohan and the daily show as minority casting agents doesnt help dunhams reputation for a broad world view 
869,without getting into whether it is correct or preferable in reality it is actually possible to have an inner circle of predominantly of one color or ethnicity for some people its not a conscious choice it just is why so much ink is spilled over the fact that the writers on this show or any other dont purposely try to shoehorn in characters that fit certain boxes in order to appeal to the widest demographic or to reflect a reality that a lot of people dont actually live is beyond mebrbri would agree that more representation in the arts is a good thing but not in an artificial way otherwise every cast would like like star trek which as admirable a sentiment as it may be does not reflect most peoples reality
870,dunham admitted on howard stern that she doesnt write the episodes she has a team that does it  i would encourage her supports and detractors alike to listen to the full interview from a year or so ago and how she prattles on about how she knows so much about the world from her experience attending a literal womens college ie ultra elita school for the wealthy  thats supposed to give someone perspective according to her  the arrogance is unbelievable and whats worse is she gets a total pass on it in leftlearning pressbrbrthe show also has terrible ratings and is generally unwatchable according to most critics aside from its most ardent supportsbrbrso why do i read her name and hear about the show on a weekly basis on nyt and other leftleaning periodicals  especially in the context of this show changing television  most people dont even know this show is on television and people who do dont watch  
871,wow see the headline and think wait what not only is this show still around but the nyt is still publishing fawning little pieces about itbr i went straight to comments and felt better brbragreed with a few comments that hold this show up as an example of how detached our supposed elites are from even educated upper middle class citizens i cringed when i saw the creator out there campaigning for hrc but there you go stuck in a bubble and now look whos in the wh
872,i think hottakers is supposed to be hottalkers
873,definitely not a fan of this indulgent cringeworthy show but i am tired of hearing people pile on a show for having a  gasp  mostlywhite cast i dont recall spike lee or kenya barris being harangued for not having a central character who happened to be white or middleeastern or asian orbrbrseinfeld received the same criticism to which jerry seinfeld replied youre right we didnt fix the ills of society
874,it certainly did change television it showed that you can be a star despite bragging about molesting your sister and lying about being raped by the president of her colleges republican club where there were probably no more than 10 republicans on the entire campus brbrand not only can you become a star you get to campaign with a candidate for president
875,television rarely never changes few characters rise above stereotypes and advertising images its safer that way junk remains junk for the rubes
876,im going out on a limb here about diversity  brbrwhy are we pushing it so  i dont get it  not everyone lives where diversity among friend colonies is even a possibility  i grew up in brooklyn in the 1950s and 1960s and my public school junior high and hs were largely white a smattering of blacks and like hung around with like brbrditto my life in my professional work place i was wall street for 25 years and in my new profession it too is largely white and the neighborhood i live in now is as well  am i supposed to because its politically correct go out and solicit friends with whom id likely have little in common just for the sake of itbrbri dont get it  really  
877,you want a show that was much better written had a woman struggling against much greater odds and that impacted an entire generation watch a rerun of mary tyler moore
878,i watched some of season 1 and found the four main characters so distasteful and unlikable that i never tuned in for season 2 if you want me to commit i have to enjoy being with you i did not enjoy the company of these girls
879,the casting of the four main actresses was consistent with the venerable tradition of showbiz nepotism
880,huh  never heard of the show or its castbrbrguess it didnt change much history
881,not that anyone cares but i had a lot of issues with this showmostly just found it plain annoyingbut the lack of diversity in the friend group wasnt one of them i lived in nyc for years and in the real world for many more despite what college brochures with every race represented would have us think we dont tend to intermix that much its a shame reallybut its also the reality 
882,i have watched a view episodes over the years and each time come away feeling like the characters are self absorbed the characters  people  would be better served going out to do something for other people than constantly examining their own navel to much time on self and not enough being part of other peoples lives the show did not inspire it did nothing but give air time for young people to wallow in self pity of their own little lives perhaps they should have volunteered for the peace corp instead
883,i adore girls and will mourn its absence on hbo while those other shows it inspired are interesting none of them have the profundity in my opinion of girls 
884,good lord duck dynasty got more viewers than this oddity  and why were the media critics obsessed with this and whatever misadventures ms dunham found herself in  talk about a bubble
885,still waiting for the essay titled a thousand ways deadwood changed television 
886,not that anyone has asked but at the opposite end of the spectrum of a show populated with really unlikable characters like girls is a silly and sometimes outright dumb show that i enjoy simply because the opposite is true the characters are so likable  new girl  yes fine make fun of me i know its a silly show but i like it anyway it also has the rare quality of utilizing nonwhite cast members without making every joke in their scenes revolve around the fact that they are not white allblack shows allwhite shows whatever are fine im not pc but it is refreshing when you are white married to an african american and live in a social world full of people of varying shades to be able to tune into one show that not only reflects that but also refuses to treat it as a novelty and constant point of comment it just is
887,a thoughtful piece but every time the times employs a listicle headline i die a little inside
888,as an older woman who comes from a youth in the sixties i find this show fascinating there are times when it makes me very uncomfortable however it reminds me of what it was like to be 25 in a world with changing rules 
889,great show and very much needed after the ridiculous decadence of sex and the city these were messy stories about people who struggle with finding themselves while slowly going broke in nyc i hope ms dunham continues to bring her voice to another project it sure would help a lot of people get through the trump years or year if i can dream
890,im putting it in the queue for my daughter to watch in a her early teens  seems a powerful deterrent to adolescent casual sex  
891,seems like a lot of chips on a lot of shoulders reading these comments a lot like the characters on girls hmmm
892,intelligently written well acted that is still very rare in television i take the abominable characters as an exaggeration of something real and a warning and they are entertaining like the abhorrent characters in a dostoevski novel
893,if a tv show is watched by nobody can it change television
894,girls is brilliant  i love it and i will miss it and its characters dearly  smart brutal funny and real it reminded me of my own genx youth going to school in nyc when the cool place to be was the east village not brooklyn  it  spoke to the young woman i once was perhaps a little less selfabsorbed or at least id like to remember my younger self that way  wishing lena dunham a long and provocative career  i look forward to whatever she produces next  and to ms mamet ms williams and ms kirke and the rest of the spectacular cast thank you  you are all amazing 
895,why must a show receive a scolding if all the main characters are the same racebrif this show were about 4 young latina women living in the same neighborhood nobody would be calling them out
896,objectively what were the ratings for this show a quick search indicates that as of january 2017 about 575000 people watched this show per week so it may be influential within the coastal media bubbles but im willing to bet for the vast unwashed rest of the country it made not a bit of difference about anything 
897,this unwatchable show changed television in that it was able to stay on the air for 6 years despite huge ratings drop 40 in its second year and a steady decline thereafter
898,i find the shows predictable slow motion disasters pretty funny to watch i also like the focus on how difficult it is for younger people to find a productive path in times of diminished opportunities what bothers me most about the show is the sex in the city four women friendship aspect  the men are simply not considered friendship material unless they are gay they seem like sex objects most of the time maybe thats the joke or maybe its just feminist ideology the show suffers from a similar problem with non millennial characters  reinforcing the disconnect between generations which a lot of times just comes across as immature but maybe thats just meta thats the fascinating thing with this show  its smarter than you are
899,i couldnt make it through even one episode of this show on a seven hour transcontinental flightbrbris there an appeal in watching spoiled rich people wallow in their self pity and narcissism that im missing 
900,i saw one episode shut off the idiot box and quoted loudly the following lines from philip larkins since the majority of me  brbrsince the majority of mebrrejects the majority of youbrdebating ends forthwith and webrdividebrbri confess i do this for most sounds and images that emanate from the box
901,really interesting that the majority of negative comments on here are from men i think what people need to keep in mind is that this show is really important because it allows a woman doing regular mundane things and take up space each time ms dunhams character hannah slurps spaghetti or strips on camera is an assertion that this particular woman engaged in this specific action  eating talking or having sex  is worth attention in this she is redefining both female beauty and a womans valuebrbrcall lena dunham self absorbed fat whiny whatever you want but keep in mind hannah was never going to be a voice of anything but her own confusion which was part of a joke that a great many critics seemed determined not to get she has always been too selfinvolved and insufficiently selfaware to turn her life into art that is the major difference between her and her creator i appreciate dunhams fearlessness in analzying and unapologetically portraying a character that is extremely flawed brbri also appreciate the articles ability to examine both sides the characters on girls are extremely privileged and i think especially in earlier episodes it is important to keep in mind that the erasure of different colors of skin is not really representative at all of modern day culture 
902,this show and the cosby show share an uncomfortable truth that no one wants to talk about  bill cosby chose to cast for his tv family women who were so lightskinned that one wondered what they were doing in a show about an african american family  it was so clear that his idea of feminine african american attractiveness was all tied up in being lightskinnedbrbrlena dunham while flaunting her own overweight flabby unattractive body often scantily clad and occasionally nude  cast highly attractive slender fit young women as her costars  even the supporting characters are all attractive slender and physically fit  seems that the revolutionary act of celebrating normal womens appearance stops with her own appearance
903,hbo is close to losing its relevancy and its viewers because of its insistence on repeating shows that focus on quirky annoying straight white people excluding a few notable exceptions from the past especially the shortlived looking the new hbo is whiter straighter and more annoying than ever see veep divorce curb your enthusiasm silicon valley vice principals togetherness etc etc etc 
904,i absolutely love this show it is one of the few shows that portrays very accurately the huge role that a womans looks play in our society traditionally everywoman types were played by the likes of doris day mary tyler moore marlo thomas valerie harper zooey deschanel these women are all extremely attractive not average in any way at allbrthe acknowledgement of looks affecting how people respond to you and being done with a terrific amount of humor is awesome the dialogs are so fantastic and funnybrthere was also a terrific sweetness in the relationship between adam and hannah that i really loved i did not enjoy hannahs regression in season 5 all that much in particular her stint as a teacher her complete lack of appropriate behavior as a teacher including actions that would have gotten her fired as well as her supposedly good way of relating to the kids was off for me  but adam driver is a joy to watch in each and every episode
905,ao scottbrthe barriers to entry were too high the corporate culture too entrenched the medium too square girls had an improvisatory lowrent doityourself feel that was at least as striking  and to some as disconcerting  as its frank sexuality it felt loose candid and personal in a way that few scripted series had beforebrbecause what says lowrent doityourself like being on hbo with a big name producer judd apatow behind you
906,i loved the series and wish it would keep going   in the real world even in nyc a lot of white people mainly have white friends  its a fact of life and same on most tv shows too  
907,6 ways girls changed media coverage of television might be more apt about this show created by and starring heiresses from an elite few nyc families with a consequent perspective on our city ignore affordable housing crises diversity world ignore global economic meltdown and my generation ignore the fact that most millenials wereare struggling with immense debt while entering a supremely challenging job market its pr team deserves an award but it never had significant viewership despite the countless thinkpieces written about it enough
908,the obsession and enamor of media critics like the nytimes with this show is one of the more palpable demonstrations of why so many of the type of people who read the nytimes and buy all its says were surprised by trumps victory this show gave a terrible and inaccurate impression of young liberal cosmopolitan people and i would hate to live anywhere its characters world view prevailed i confess to dipping in and out when i needed some eye chewing gum while riding a stationary bike  its portrayal of most young white women as whiners who need therapy during and drugs is akin to the shows that regularly portray black men only as drug dealers and moslems only as terrorists 
909,what is the nyt obsession with this marginal show and dense selfabsorbed writer neither one is that relevant to anyone beyond your media critics
910,whoa  i love this show  its brilliantly written and acted  tvs default world is a fantasy ivyeducated upper middle class white ny  why would girls with its most honest depiction be held to a different standard  im sorry to see it conclude
911,white girls live in  a different world  from their black sisters and brothers
912,hbo has always been a groundbreaking entertainment company with series like the wire deadwood the corner boardwalk empire oz just to name a few  they have real moxie to produce and air shows that no one else would or even came close to  granted im not the biggest fan of girls but what i applaud and admire hbo for their choice and decision to cast these four actresses in the roles they play  these gals bring realistic and legitimate elements to the storylines because of how they look  i am extremely saddened by the many comments made by viewers who found these gals physically and personally so unattractive  really  i guess because i was never a beauty my entire life i take exception to negative comments based solely on ones looks
913,the diversity issue was not nearly as irritating as the ferocious middleclass entitlement and selfabsorption of these characters  50 of new yorkers live near or at poverty level while hanna and her friends flit from one comfy spacious apt to another seek and find jobs that allow them to express themselves and prattle on endlessly about what it all means  to thembr brbr
914,most of the mens comments on here are refreshingly  oops  i mean predictably misogynistic and shortsighted  what a surprise  im a man and want women to rule this world  tired of the femalehating males of this country and globe  the ugly comments made here match the ugly men who wrote them  
915,i wanted to like girls i really did i kept watching to try to understand why the critics swooned but every exposure made me wince more and thank my lucky stars that my own two millennial daughters have nothing in common with any of the characters on girls i could even live with my daughters withering disapproval that i watched at allbrmy daughters are grounded products of a relentlessly middle class upbringingbrbrmy daughters wish lena dunham would check her privilege  the daughter of a known artist claims to be the voice of a generation she enlists her friends the daughter of a classic rock drummer the daughter of a tv anchorman fallen and resurrected in the span of this show and the daughter of a profane playwright and nudity degrading sex and jobs that never seem to be sufficient to pay brooklyn rent ensue hilarity never doesbrthe truth was revealed herebrin the final season of girls hannah lena dunham tells a magazine editor about what she considers to be one of her strengths i have a strong opinion about everything she says even topics im not informed onbrand that is what made girls utterly unwatchable
916,unmentioned here is that each of the four lead actresses come from incredibly privileged backgrounds  lena dunhams parents are famous artists zosia mamets father is david mamet jemima kirkes grandpa was a billionaire and allison williams is the daughter of brian williams tom hanks officiated at her wedding per wikipedia  i would have preferred a show about the machinations that got each of them into showbiz that could have been far more representative of modern life 
917,i watched half the first season and i thought the selfabsorption of the characters got old so i stopped watching   ms dunham is talented but im well past my navel gazing twenties and the show didnt speak to me  i did appreciate the realism of the show though and thought there was some good acting
918,male here  could we please get the same type of analysis of the big bang theory please i would love to see how those four men represent or dont represent my generation of men according to the nyt it would be great to hear about the modern millennial man finding his way in the world as well what does the bbt tell us about our problems and our future thanks
919,this show was full of unpleasant people behaving unpleasantly but not anyone you could ever empathize with or feel sympathy for which is supposed to be the link to make it watchable for the viewer  hbo probably would have stopped this show way before now except that it makes critics like ao scott babble as he does in this article  
920,i watch it and somewhat enjoy it but i think i would have been a loner in the 80s if my choice of friends were girls like these  i watch it for the trainwreck aspect same as i watch shameless though the acting is way better in that one   i also watch it for my girl crush on jemima kirke  wont be sorry to see it go but whats all the fuss about  televisions still have off switches ps broad city is brilliant i do not see how the two are even in the same playing field
921,the authors here speak as if men and yinyang do not exist taking for granted that women surpass or even superannuate the relationships in the wars of the sexes nonsense each man and woman is capable of any kind of sexual bent and all kinds relationships sex and love are stories about conflict or diplomatic avoidance sex and love rarely stray from the disjointed life is chaos thats all  its physics drop two babies one female the other male into the stream of life in exactly the same spot in a stream and whether they meet have a onenighter work as colleagues run against each other for president of a region get married or not downstream they will always be individuals selfishly trying to understand the universe
922,the critical reception of this show seems to have been a harbinger of the isolation of the cultural elite i hate myself for using this term from the rest of american life  this show was not widely watched ms dunham was mysteriously elevated to some sort of cultural avatar and the characters even if intentionally drawn were solipsistic and uninteresting  show like broad city and crazy exgirlfriend are is infinitely better more creative and a lot more enjoyable to watch ms dunham is not without talent but the rush to see her as some sort of postmodern third wave feminist auteur is absurd  
923,a great show to say the least  sure its not for everyone and most will not get it because its alittle to out front for the mainstream tv audience  brbrmaybe its because i can relate to their theatreart school angst where every twenty year old is destine to become the next biggest greatest thing in the world  only to be crushed by the reality that no one really makes it in show business or as a writer  brbrlena dunham pushes the envelope makes you cringe and very  uncomfortable that is what good tvtheatre is all about  
924,i find this show  representative of the foolish trends toward boorish and crude behavior that have helped fuel a major backlash against womens rights
925,i can name one thing the show changed it forced me to change the channel whenever it was on   its not only me this show has terrible ratings  i gave it a chance and it wasnt worth my timebrbrwhy does the nytimes and the media more generally continue to devote so much space to girls or its creator
926,i cant understood the popularity of this show  ive tried watching it a couple of times but couldnt finish a single episode  i found hannah horvath to be a vacuous shallow self absorbed spoiled little brat too clueless to realize that sponging off your parents when your in your late 20s is not a sign of urban sophistication  and her friends and lovers arent much better  if this show is the future of tv im going to be watching a lot more cat videos youtube
927,ive always enjoyed the show for that certain aspect of cant turn away from the trainwreck behavior that makes up the character arcsbrbrbut thats when the writing and acting really shine and you see the girls have that what did i just do nowagain moment of realization
928,i think i speak for most people when i say i hope lena never gets another show
929,my daughter and i would discuss and often argue about the merits of this show lena dunham is undeniably talented at writing and has an ease in front of the camera i am too far removed from this age range to know if it is realistic or notbri watched the whole series and felt that in the end it was better than many other shows over the last 5 years my criticisms are mainly how depressing the series was and the extreme selfcentered behavior i pray it was not realistic  this show was like facebook instagram and twitter wrapped into one lena dunhams frequent nudity seemed excessive and at times unnecessarily provocative when she would disrobe it broke through the 4th wall for me and the series became her personal issues and not a tv show to be enjoyed
930,i am proud to say i made it through a season and a half of this amazingly pretentious train wreck proud in the same way id be proud of any exercise in intellectual masochism
931,first let me say i am a senior man who i think is fairly objective and know i am programmed to dis the younger generationbrbri watched it a few times ironically of all the thousands of areas in the us it could be filmed it was  mainly filmed in my neighborhood of greenpoint bklynbrbrok here comes my biased reviewbrbr1the girls wore clothes or makeup or lack of makeup that went out of their way to make them look unfeminine in real life i am sure they are more attractive then thatbr2keep the clothes on  they went out of their way to show nudity kinky sex etc my motto if you dont have it dont flaunt it and kinky in your face sex produced by a woman is just as bad as it being produced by a manbr3dark dark darkvery few of their episodes were funny at least the few i sawalways made up drama etc the tv sitcom two broke girls is bawdy racy brain dead but funny and bright and cheery despite the position the two women are inbrbreditorial opinion please
932,give me an 1890s suffragist any day of the week over these relentlessly solipsistic millennial feminists the incessant insistence on not needing or wanting male validation of their looks works or temperament sends exactly the opposite message a feminist bore is still a bore
933,i have never found girls or lena dunham entertaining but i am glad they are out their doing their thing even though it didnt do it for me stopped after two episodes it is great anytime there is something unique and true to itself in the culture so much media is filtered down to appease to the masses it is great knowing that their are people out there as the coen brothers would put it playing in their corner of the sandbox and doing their own thing
934,this is perhaps the most critically overrated television series out there the characters are remarkably selfindulgent and narcissistic i suspect that reflects the world of the writers producers and directors but honestly to me it was just blah blah blah 
935,it began as a contemporary counterpoint to sex amp the citythe reality of the diminished expectations of millennials unfortunately it quickly sputtered into a bunch of unconnected plot twists and vanity projects for the actresses involved ironically the show often shows more of the stamp of durhams collaborators like judd apatow than anything new or distinctive zosia mamet was a sight gag who seemed unable to act in the first season and hasnt gotten much better after getting beyond her initial overaged virgin plot line this was a show that debuted with great promise but is now best watched as a guilty pleasure watching what new and trainwrecklike direction it has taken whereas shows like better things are both realisitic and novel girls is just selfindulgent trash about privileged young women that cant be taken seriously 
936,the first season was innovative fresh and provocative  the second season lies unwatched on my computer
937,hasnt this gone away yet  so sick of it
938,to its credit girls launched adam driver who is wonderful aside from that the series quickly fell flat for me 
939,this show turned me off tv 
940,all i know is my slightly over 60 wife of 40 years cant wait for the next season to start  thanks lena
941,no ratings powerhouse   i think the entire cumulative audience over all episodes may have just about exceeded the audience for one episode of american idol
942,i tried to watch a couple of episodes starting at the beginning of the series  i couldnt stand it because the characters were so unbelievably stupid and had such horrible judgement  it wasnt comedic  it wasnt true to life  it wasnt fantastical  it was just embarrassing  
943,there are two shows in the history of television that to me are the most poorly written grossest most vulgar disgusting and cynical and which provide nothing of quality in exchange unfortunately they are both in production today they are girls and shameless 
944,the show is groundbreaking in the sense that it portrays reality simply so brbrit is stories of real people from real people even if those people happen to be girls or young or minorities or of a different sexual orientation the stories are colored from people of color and fleshed out with explicit sight of flesh multiple points of view offer the dichotomy which makes up our society brbrperhaps it is like holding up a mirror but it is also like looking out the window on any given street subtle hues light and shade abound brbri am thankful for the genius and sincerity of the shows writers and actors 
945,a wealthy white privileged group of millennials has given more voices to a generation  maybe that sentence makes sense in the new york times
946,you are all overthinking this show  not one word about how sad it is that this in any way reflects the lives of 20something hipsters in the big city  the men use the women for whatever they want with no regard for them as actual  human beings  the women have no selfesteem  there is little hope of making a life with someone for the long term like more than three months  and it should not be a surprise that four white women who met in college are a group  stop intellectualizing this  thats how we ended up with donald trump as president
947,omg i saw a much different movie the evening of feb 3 thought the direction was wonderful and laughed my head off de niro and mann had such outstanding chemistry that my heart ached for her return when she was absent without excuse for a long stretch that turned out to be a terrific move setting up the audience for the exquisite scene with the elderly crowd in florida which in turn led to the climax of the story highly recommended as one of the ten best movies of the last 57 weeks
948,who ever wrote this review did a real great job in describing the story line  but he apparently doesnt know how to enjoy laughing at our selves and make fun of so many lifes aspects  deniro was perfect even if he doesnt expect an acadamy award 
949,sorry  but i found this a surprisingly good movie surprisingly because i didnt think that deniro could play a comic believably he can  a comic of the type he is supposed to be in the film btw the complaint that his character is more sourbitter than funny misses the point jackie burke the character deniros playing is basically a sour even bitter guy who can beand at times is fairly but not hilariously funny in just that mode eg the scene at his nieces wedding but then his character shouldnt be hilariously funny or he wouldnt be who jackie burke is  a 74 year old who made it big on a sitcom for a while many years ago and who exists in the minds of those who remember him at all only as the character he played on that showbrbrps the complaint that deniros character is patronizing toward women is absurd of course he is  given his age background and temperament how could he be otherwise if he hadnt been edgy and hostile in that cable tv confab scene his character and the movie as a whole would have had no dramatic credibility what next  captain ahab wasnt nice to whales
950,de niros stunning body of work here are some of choices includesbrbrmean streets  early de niroexcellentbrbang the drum slowly love his work in this i think this was one of his first major rolesbrbox car bertha early de nirobrthe gang that couldnt shoot straightaka trump amp the new trump administrationbrtaxi driver my favourite major film to launch his career ya talkin to mebrgodfather  2  excellent mastered character period behaviour of old world italian cluturebrdeer hunter still one of my favourite he was really very different in this role you see this stanley this is thisto the late great john casalebrmidnight run still one of my favorite performances excellent chemistry with grodin both underated in thisbrraging bull breathtaking achievement finally won the oscar very smart joey very smartbrthe king of comedy excellent character work he was underated in this toobrthe mission excellent work underated because the movie was so longbrcasino excellent workbrhide and seek very understated his work is different in thisbrnew york new york excellent and underated workbrgoodfellas excellent workbrcape fear excellent character work come out come out wherever you arebrawakenings excellent character workbrbronx tale excellent workbrsilver linings playbook excellent character workbrjoy excellent character workbrgood sheperd excellent all aroundbrbrand too many others to mentionexcellent work bob
951,de niro has indeed been practically phoning it in for a long time the last film he was in where i was truly engaged was ronin regarding the comedian it does start with an interesting premise but taylor hackford the director behind an officer and a gentleman brbryoud really need a director with an edge  a jonathan demme david cronenberg todd solondz maybe even alan parker or god forbid martin scorcese im even wondering what a woody allen would have done with this picture this sort of film can and in this case apparently has fallen into formulaic feelgood type of entertainment a big mistake i think deniro is potentially capable of it but hes doing movies for the money apparently needing it since a divorce and he needs material and a director to push him into really uncomfortable emotional territory  
952,another watch for cable flick for mr de niro whos almost always worth watching if not paying for
953,ii am really at a loss for what plagues robert de niro in several of his films of late dirty grandpa not withstanding his performances are good but the films are bad im thinking of being flynn the intern and even hands of stone de niro shows up and does a solid job but it seems the filmmaking lets him down brbrive seen just about everything this actor has done much of it during the summer i decided to abandon my dissertation the point is in an emotional slight of hand for a few months i transferred the research skills used for my dissertation to examining this actors career  in one of the few interviews available at the time in reference to the intensity with which      de niro attacked his roles i believe he was quoted as saying something like i wont always be doing this i took this to mean that he had chosen not to continue immersing himself so seriously in role after role after role  brbrhe also said his future was in directing de niro directed two great films the good shepherd being the better and totally underrated one i wish he had continued in that direction  brbrstill as a dedicated fan i am not giving up i look forward to the scorsese project lets keep our fingers crossed
954,deniro looks like hes in his early 50s in this film did he get a face lift did he loose weight he looks amazing considering hes almost 74brbrmy first ny audition was for robert deniro for king of comedy it was dec 5th 1980 at the rolex bldg on 5th avenue i had just seen an advance screening of raging bull and was blown awaybrbri thought i was going to faint when i met him he was sitting with the casting director cis corman   couldnt really speak because my mouth was so dryi had a number of callbacks but the role went to sandra bernhardt who was perfect for the part i will never forget how kind deniro was to me down to earth and humble no artifice whatsoeverbrbri will see this film i see all of deniros work comedy is very tricky and not sure if taylor hackford is the right director for a comedy as you really need a comic eye when directing comedy its also about timingpacing and rytham born more often than not out of the angst desperation pathos and drama of the character and situation  easy for me or anyone to talk about but extremely tricky to pull offcasting in a comedy is crucial as comic acting cannot look forced  comic timing at the right moment in a scene that is when you can tell the comedy worksbrbrps i do a disturbing imitation of deniro voice and facial expressions not bad for a girl
955,dirty grandpa was as pathetic  a movie as can possibly be made i guess he made it even lower  amazing to hear the disgusting and filthy mouthed actor in dirty grandpa a vehicle made just for him criticize trump for his foul verbiage
956,review robert de niro as the comedian a hasbeen seeking a comeback this is an excellent description of de niros laterstage career someone should tell him that he cant and shouldnt attempt to do comedy or romance
957,not even streaming for free
958,deniro once got great vehicles the way a great comic gets great lines each has to deliver what another wrote  not easy when the script or line is secondrate or worsebrfor some reason deniro has been accepting scripts king kong couldnt lift and the acting shows his disappointment and resignation better an unforgettable cameo in an otherwiseforgettable movie than a starring role in a completely forgettable one but the money is way worse too many dogs and that disappears too the failed comic becomes a waiter or barkeep 
959, i thought diniro was terrific in the bradley cooper film silver linings playbook where he played coopers ocd father and bookmaker  you cant  be the raging bull every time out  give the guy a break  also leslie mann is much under appreciated as a comic actor  
960,taxi driver the deer hunter raging bull  wow  they really were the daysbrdeniro lost me as a fan with meet the fockers today if he has a major role in a film that serves as a red flag not to view that film  to borrow a phrase so sad   
961,deniro has been phoning it in for years  hes doing it for the money and i dont blame him but i will not pay for any of his movies that have become over the years basically silly junk 
962,unless he plays a violent nut he has no zing
963,it used to be that i looked forward to a deniro movie coming out now i cringe dirt grandpa  really  is he that desperate for money that he has to take on these terrible roles i think its time he called it quits
964,going against the grain here but i liked the trailer actually laughed out loud several times
965,its really sad to see how deniro has descended to a bloated non engaging actor that he once was for so many of us  i prefer to watch only his earlier movies such as king of comedy
966,watching the trailer is a great way to make a decision on whether or not to see the film     my wallet thanks you   
967,nice to see the trailer for this might be of interest for people wishing to be in the presence of old favorites in the context of something not overtly stupid
968,bobby d plus taylor hackford youd think they could make a decent moviebrbri always considered robert de niro to be an artist   he was my favorite actor   now he seems more concerned with real estate
969,i often wonder if the steady decline in the quality of mr deniros output is laziness and no interest in maintaining his talent and reputation as a great actor or just the overall lousy quality of most of the product that comes out of hollywood  id hate to think its the first the second is a given
970,i dont know from this review whether this is just a bad movie or if de niro is simply past his best buy date i sure hope its the former so many of his films have been brilliant as is he
971,despite this sour review im eager and anxious to see de niros new movie  in fact i love him  how could i not after his laudatory and accurate characterization of trump
972,why not one word on danny devito  
973,robert de niro stopped generating good will with me at least when he stopped generating good performances somewhere around the late eighties  look i dont blame him for deciding after about fifteen years of delivering more of his inner soul than arguably any other actor has for electing to take it easy on his psyche and stop digging down so deep  but there is something cynical and depressing about his latecareer film choices   
974,manohla nails it here in her review with one exception leslie mann is absolutely fantastic this is an oscar supporting actress worthy performance that will be ignored because the film is such a misfirebrmanohla goes into pc mode in condemning the actress for playing the role of an unenlightened woman in fact manns performance is so strong because shes  far less wideeyed than in movies directed by her husband and she presents a real if flawed character who grows by movies end its no mystery why she took the role why anybody else did is unfathomable
975,ms dargis review of the comedian is rightonbras impressive as mr de niros resume is frankly he has never been funny  its just not in his dna 
976,this is too formulaic to be a useful criticism
977,if this movie is intended as an examination of a standup comics declining fortune perhaps it should be released as part of a doublebill with scorseses brilliant king of comedy  deniros own declining fortune would certainly be on full view    
978,punxsutawney phil is the only true weather forecasting groundhog the rodents website says the others are just impostorsbrbrwell pennsylvania we in new york politely disagreebrbri dont  its a silly publicity event  who cares its too bad staten island cant find other way to garner some media attention
979,nice digs but the solar panels are kind of overdoing it
980,first of all nice closeup of the groundhog the nails are especially impressive which is probably why it appears to be in a glass cagewith lots of foodbri actually had no idea it had so much company holtsville hal maleverne mel dunkirk dave wowbranyway the lady has a really nice housebrthanks for the weather report
981,nyt continues her feverish quest to eradicate the masculine  pronounbrbrbravo
982,knicks bocker nets
983,she is also the cutest
984,im for prairie dog day this would bring attention to the fact that the black footed prairie dog is being poisoned by the tens of thousands by ranchers brbrand the maker of the poison none other than monsanto which seems determined to wreck havoc on our environment one way or another the poison is particularly painful to these little creatures because it causes them to bleed internally for several days until they die when they are hunted by hawks owls coyotes and other natural predators monsantos poison spreads throughout the ecologybrbrso give chuck a break and send a message to monsantostop poisoning our environment 
